"","playerID","yearID","ballots","needed","votes","inducted","category","name_given","name_nick"
"117","sislege01",1937,201,151,106,"N","Player","George Harold","Gorgeous George"
"118","delahed01",1937,201,151,70,"N","Player","Edward James","Big Ed"
"119","wadderu01",1937,201,151,67,"N","Player","George Edward",""
"120","colliji01",1937,201,151,66,"N","Player","James Joseph",""
"121","walshed01",1937,201,151,56,"N","Player","Edward Augustine","Big Ed"
"122","hornsro01",1937,201,151,53,"N","Player","Rogers","Rajah"
"123","chancfr01",1937,201,151,49,"N","Player","Frank Leroy","Husk; The Peerless Leader"
"124","eversjo01",1937,201,151,44,"N","Player","John Joseph","Crab; Trojan"
"125","bresnro01",1937,201,151,43,"N","Player","Roger Philip","The Duke Of Tralee"
"126","brownmo01",1937,201,151,31,"N","Player","Mordecai Peter Centennial","Three Finger; Miner"
"127","maranra01",1937,201,151,25,"N","Player","Walter James Vincent",""
"128","schalra01",1937,201,151,24,"N","Player","Ray William","Cracker"
"129","planked01",1937,201,151,23,"N","Player","Edward Stewart","Gettysburg Eddie"
"130","clarkfr01",1937,201,151,22,"N","Player","Fred Clifford","Cap"
"131","klingjo01",1937,201,151,20,"N","Player","John","Noisy"
"132","chaseha01",1937,201,151,18,"N","Player","Harold Homer","Prince Hal"
"133","bendech01",1937,201,151,17,"N","Player",NA,NA
"134","crigelo01",1937,201,151,16,"N","Player","Louis",""
"135","youngro01",1937,201,151,16,"N","Player",NA,NA
"136","pennohe01",1937,201,151,15,"N","Player","Herbert Jefferis","The Knight Of Kennett Square"
"137","tinkejo01",1937,201,151,15,"N","Player","Joseph Bert",""
"138","bakerfr01",1937,201,151,13,"N","Player","John Franklin",""
"139","marquru01",1937,201,151,13,"N","Player","Richard William",""
"140","woodjo02",1937,201,151,13,"N","Player","Joe","Smokey Joe"
"141","mcginjo01",1937,201,151,12,"N","Player","Joseph Jerome","Iron Man"
"142","jossad01",1937,201,151,11,"N","Player","Adrian",""
"143","ruckena01",1937,201,151,11,"N","Player","George Napoleon",""
"144","heilmha01",1937,201,151,10,"N","Player","Harry Edwin","Slug"
"145","roushed01",1937,201,151,10,"N","Player","Edd J.",""
"146","vanceda01",1937,201,151,10,"N","Player","Charles Arthur",""
"147","adamsba01",1937,201,151,8,"N","Player","Charles Benjamin",""
"148","duffyhu01",1937,201,151,7,"N","Player","Hugh",""
"149","archeji01",1937,201,151,6,"N","Player","James Patrick",""
"150","careyma01",1937,201,151,6,"N","Player","Max George","Scoops"
"151","donlimi01",1937,201,151,6,"N","Player","Michael Joseph","Turkey Mike"
"152","hoopeha01",1937,201,151,6,"N","Player","Harry Bartholomew",""
"153","bradlbi01",1937,201,151,5,"N","Player","William Joseph",""
"154","carribi02",1937,201,151,5,"N","Player","William Francis","Rough"
"155","crawfsa01",1937,201,151,5,"N","Player","Samuel Earl","Wahoo Sam"
"156","huggimi01",1937,201,151,5,"N","Manager","Miller James","Mighty Mite"
"157","mcgrajo01",1937,201,151,5,"N","Manager","John Joseph","Mugsy; Little Napoleon"
"158","robinwi01",1937,201,151,5,"N","Manager","Wilbert","Uncle Robbie"
"159","tennefr02",1937,201,151,5,"N","Player","Frederick",""
"160","wheatza01",1937,201,151,5,"N","Player","Zachariah Davis","Buck"
"161","combsea01",1937,201,151,4,"N","Player","Earle Bryan","The Kentucky Colonel"
"162","griffcl01",1937,201,151,4,"N","Pioneer/Executive","Clark Calvin","The Old Fox"
"163","jennihu01",1937,201,151,4,"N","Player","Hugh Ambrose","Ee-Yah"
"164","altroni01",1937,201,151,3,"N","Player","Nicholas",""
"165","bancrda01",1937,201,151,3,"N","Player","David James","Beauty"
"166","burnsge01",1937,201,151,3,"N","Player","George Joseph",""
"167","donovbi01",1937,201,151,3,"N","Player","William Edward","Wild Bill"
"168","faberre01",1937,201,151,3,"N","Player","Urban Clarence",""
"169","lewisdu01",1937,201,151,3,"N","Player","George Edward",""
"170","nehfar01",1937,201,151,3,"N","Player","Arthur Neukom",""
"171","peckiro01",1937,201,151,3,"N","Player","Roger Thorpe",""
"172","bergema01",1937,201,151,2,"N","Player","Martin",""
"173","bodiepi01",1937,201,151,2,"N","Player","Frank Stephen",""
"174","coombja01",1937,201,151,2,"N","Player","John Wesley","Colby Jack"
"175","cravaga01",1937,201,151,2,"N","Player","Clifford Carlton","Cactus Gavvy"
"176","daubeja01",1937,201,151,2,"N","Player","Jacob Ellsworth",""
"177","doylela01",1937,201,151,2,"N","Player","Lawrence Joseph","Laughing Larry"
"178","fletcar01",1937,201,151,2,"N","Player","Arthur",""
"179","gowdyha01",1937,201,151,2,"N","Player","Harry Morgan",""
"180","loberha01",1937,201,151,2,"N","Player","John Bernard","Honus"
"181","mageesh01",1937,201,151,2,"N","Player","Sherwood Robert",""
"182","schreos01",1937,201,151,2,"N","Player","Freeman Osee",""
"183","scottev01",1937,201,151,2,"N","Player","Lewis Everett","Deacon"
"184","breitte01",1937,201,151,1,"N","Player","Theodore J.",""
"185","burkeje01",1937,201,151,1,"N","Player","Jesse Cail","Crab"
"186","bushdo01",1937,201,151,1,"N","Player","Owen Joseph",""
"187","chesbja01",1937,201,151,1,"N","Player","John Dwight","Happy Jack"
"188","cissebi01",1937,201,151,1,"N","Player","Chalmer William",""
"189","collish01",1937,201,151,1,"N","Player","John Francis",""
"190","dooinre01",1937,201,151,1,"N","Player","Charles Sebastian",""
"191","duganjo01",1937,201,151,1,"N","Player","Joseph Anthony","Jumping Joe"
"192","elberki01",1937,201,151,1,"N","Player","Norman Arthur","The Tabasco Kid"
